season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2023,Chennai Super Kings,Gujarat Titans,2023/03/31,1,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,field,Rashid Khan,Nitin Menon,HAS Khalid,A Bengeri,J Srinath,Gujarat Titans,,5,Group
2023,Punjab Kings,Kolkata Knight Riders,2023/04/01,2,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Kolkata Knight Riders,field,Arshdeep Singh,BNJ Oxenford,YC Barde,PM Joshi,M Nayyar,Punjab Kings,7,,Group
2023,Lucknow Super Giants,Delhi Capitals,2023/04/01,3,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Delhi Capitals,field,MA Wood,AK Chaudhary,NA Patwardhan,M Kuppuraj,DS Manohar,Lucknow Super Giants,50,,Group
2023,Rajasthan Royals,Sunrisers Hyderabad,2023/04/02,4,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,JC Buttler,KN Ananthapadmanabhan,R Pandit,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,72,,Group
2023,Mumbai Indians,Royal Challengers Bangalore,2023/04/02,5,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,F du Plessis,Nitin Menon,Tapan Sharma,A Bengeri,J Srinath,Royal Challengers Bangalore,,8,Group
2023,Chennai Super Kings,Lucknow Super Giants,2023/04/03,6,MA Chidambaram Stadium,Chennai,Lucknow Super Giants,field,MM Ali,A Totre,BNJ Oxenford,PM Joshi,M Nayyar,Chennai Super Kings,12,,Group
2023,Delhi Capitals,Gujarat Titans,2023/04/04,7,Arun Jaitley Stadium,Delhi,Gujarat Titans,field,B Sai Sudharsan,A Nand Kishore,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Gujarat Titans,,6,Group
2023,Punjab Kings,Rajasthan Royals,2023/04/05,8,Barsapara Cricket Stadium,Guwahati,Rajasthan Royals,field,NT Ellis,KN Ananthapadmanabhan,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Punjab Kings,5,,Group
2023,Kolkata Knight Riders,Royal Challengers Bangalore,2023/04/06,9,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,SN Thakur,Vinod Seshan,VK Sharma,A Bengeri,Shakti Singh,Kolkata Knight Riders,81,,Group
2023,Sunrisers Hyderabad,Lucknow Super Giants,2023/04/07,10,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,bat,KH Pandya,J Madanagopal,YC Barde,PM Joshi,M Nayyar,Lucknow Super Giants,,5,Group
2023,Rajasthan Royals,Delhi Capitals,2023/04/08,11,Barsapara Cricket Stadium,Guwahati,Delhi Capitals,field,YBK Jaiswal,Navdeep Singh,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,57,,Group
2023,Mumbai Indians,Chennai Super Kings,2023/04/08,12,Wankhede Stadium,Mumbai,Chennai Super Kings,field,RA Jadeja,CB Gaffaney,NA Patwardhan,M Kuppuraj,DS Manohar,Chennai Super Kings,,7,Group
2023,Gujarat Titans,Kolkata Knight Riders,2023/04/09,13,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,bat,RK Singh,Nitin Menon,Tapan Sharma,A Bengeri,J Srinath,Kolkata Knight Riders,,3,Group
2023,Punjab Kings,Sunrisers Hyderabad,2023/04/09,14,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,S Dhawan,BNJ Oxenford,UV Gandhe,PM Joshi,M Nayyar,Sunrisers Hyderabad,,8,Group
2023,Royal Challengers Bangalore,Lucknow Super Giants,2023/04/10,15,M Chinnaswamy Stadium,Bengaluru,Lucknow Super Giants,field,N Pooran,AK Chaudhary,A Nand Kishore,M Kuppuraj,DS Manohar,Lucknow Super Giants,,1,Group
2023,Delhi Capitals,Mumbai Indians,2023/04/11,16,Arun Jaitley Stadium,Delhi,Mumbai Indians,field,RG Sharma,MA Gough,R Pandit,Abhijit Bhattacharya,V Narayan Kutty,Mumbai Indians,,6,Group
2023,Rajasthan Royals,Chennai Super Kings,2023/04/12,17,MA Chidambaram Stadium,Chennai,Chennai Super Kings,field,R Ashwin,Vinod Seshan,VK Sharma,A Bengeri,J Srinath,Rajasthan Royals,3,,Group
2023,Punjab Kings,Gujarat Titans,2023/04/13,18,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Gujarat Titans,field,MM Sharma,A Totre,J Madanagopal,PM Joshi,R Seth,Gujarat Titans,,6,Group
2023,Sunrisers Hyderabad,Kolkata Knight Riders,2023/04/14,19,Eden Gardens,Kolkata,Kolkata Knight Riders,field,HC Brook,CB Gaffaney,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Sunrisers Hyderabad,23,,Group
2023,Royal Challengers Bangalore,Delhi Capitals,2023/04/15,20,M Chinnaswamy Stadium,Bengaluru,Delhi Capitals,field,V Kohli,KN Ananthapadmanabhan,MV Saidharshan Kumar,Abhijit Bhattacharya,Amit Sharma,Royal Challengers Bangalore,23,,Group
2023,Lucknow Super Giants,Punjab Kings,2023/04/15,21,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Punjab Kings,field,Sikandar Raza,HAS Khalid,VK Sharma,A Bengeri,Shakti Singh,Punjab Kings,,2,Group
2023,Kolkata Knight Riders,Mumbai Indians,2023/04/16,22,Wankhede Stadium,Mumbai,Mumbai Indians,field,VR Iyer,BNJ Oxenford,UV Gandhe,PM Joshi,R Seth,Mumbai Indians,,5,Group
2023,Gujarat Titans,Rajasthan Royals,2023/04/16,23,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,field,SO Hetmyer,AK Chaudhary,CB Gaffaney,M Kuppuraj,Prakash Bhatt,Rajasthan Royals,,3,Group
2023,Chennai Super Kings,Royal Challengers Bangalore,2023/04/17,24,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,DP Conway,KN Ananthapadmanabhan,Navdeep Singh,Abhijit Bhattacharya,Amit Sharma,Chennai Super Kings,8,,Group
2023,Mumbai Indians,Sunrisers Hyderabad,2023/04/18,25,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,C Green,Nitin Menon,Vinod Seshan,A Bengeri,Shakti Singh,Mumbai Indians,14,,Group
2023,Lucknow Super Giants,Rajasthan Royals,2023/04/19,26,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,MP Stoinis,J Madanagopal,YC Barde,PM Joshi,R Seth,Lucknow Super Giants,10,,Group
2023,Royal Challengers Bangalore,Punjab Kings,2023/04/20,27,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,field,Mohammed Siraj,AK Chaudhary,GR Sadashiv Iyer,M Kuppuraj,Prakash Bhatt,Royal Challengers Bangalore,24,,Group
2023,Kolkata Knight Riders,Delhi Capitals,2023/04/20,28,Arun Jaitley Stadium,Delhi,Delhi Capitals,field,I Sharma,MA Gough,R Pandit,Abhijit Bhattacharya,Amit Sharma,Delhi Capitals,,4,Group
